"project_name","was_td_removed","epoch_interval","comment_classification"
"Camel",1,14197,"DESIGN"
"Camel",1,34326553,"DESIGN"
"Camel",1,423699,"DESIGN"
"Camel",1,614673,"DESIGN"
"Camel",1,16831,"DESIGN"
"Camel",1,65563,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,94277,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,14479831,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,235570,"DESIGN"
"Camel",0,271203419.551677,"DESIGN"
"Camel",1,98126,"DESIGN"
"Camel",1,5211122,"DESIGN"
"Camel",1,33,"DESIGN"
"Camel",0,101867291.551677,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,14303437,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,32020508,"DESIGN"
"Camel",1,2889229,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,4438515,"DESIGN"
"Camel",1,19131,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,48378037,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,79316,"DESIGN"
"Camel",0,133420671.551677,"DESIGN"
"Camel",1,66052,"DESIGN"
"Camel",0,107419056.551677,"DESIGN"
"Camel",1,1970930,"DESIGN"
"Camel",1,40562482,"DESIGN"
"Camel",0,202882187.551677,"DESIGN"
"Camel",0,219656153.551677,"DESIGN"
"Camel",1,7780619,"DESIGN"
"Camel",1,1970930,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,77196216,"DESIGN"
"Camel",1,22996,"DESIGN"
"Camel",1,20741190,"DESIGN"
"Camel",0,53906126.551677,"DESIGN"
"Camel",0,53906126.551677,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",0,192870888.551677,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,172633,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,106061,"DESIGN"
"Camel",1,167998,"DESIGN"
"Camel",1,178817295,"DESIGN"
"Camel",1,1197228,"DESIGN"
"Camel",1,1904849,"DESIGN"
"Camel",1,613216,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,39410198,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,172633,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,14303437,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,196107,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1970930,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1016,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",0,133420671.551677,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",0,89587759.551677,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1337,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,4794,"DESIGN"
"Camel",1,52369027,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",0,204275638.551677,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1970930,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,3350,"DESIGN"
"Camel",1,172633,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,242082,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",0,49216572.551677,"DESIGN"
"Camel",1,205663,"DESIGN"
"Camel",1,114757,"DESIGN"
"Camel",0,141522628.551677,"DESIGN"
"Camel",1,784376,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,205663,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,346120,"DESIGN"
"Camel",1,73416,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",0,128321908.551677,"DESIGN"
"Camel",1,48205,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,5605193,"DESIGN"
"Camel",1,1197228,"DESIGN"
"Camel",1,1197228,"DESIGN"
"Camel",0,3381659.551677,"DESIGN"
"Camel",0,203055707.551677,"DESIGN"
"Camel",1,532821,"DESIGN"
"Camel",1,73530940,"DESIGN"
"Camel",0,137719025.551677,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,101391,"DESIGN"
"Camel",1,11306268,"DESIGN"
"Camel",0,58862245.551677,"DESIGN"
"Camel",1,13885436,"DESIGN"
"Camel",1,17155908,"DESIGN"
"Camel",1,196846,"DESIGN"
"Camel",1,11773,"DESIGN"
"Camel",1,75048,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",0,7105064.551677,"DESIGN"
"Camel",0,7105064.551677,"DESIGN"
"Camel",0,7105064.551677,"DESIGN"
"Camel",0,7105064.551677,"DESIGN"
"Camel",0,7105064.551677,"DESIGN"
"Camel",0,20382459.551677,"DESIGN"
"Camel",0,20382459.551677,"DESIGN"
"Camel",0,20382459.551677,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,101406,"DESIGN"
"Camel",1,344212,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,13459,"DESIGN"
"Camel",1,4135063,"DESIGN"
"Camel",0,200732175.551677,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",1,5209424,"DESIGN"
"Camel",0,54428051.551677,"DESIGN"
"Camel",1,5211122,"DESIGN"
"Camel",1,5211122,"DESIGN"
"Camel",1,1569040,"DESIGN"
"Camel",0,199967328.551677,"DESIGN"
"Camel",1,28980,"DESIGN"
"Camel",1,28980,"DESIGN"
"Camel",1,22881026,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,14197,"DESIGN"
"Camel",1,414438,"DESIGN"
