"project_name","was_td_removed","epoch_interval","comment_classification"
"Gerrit",0,180129128.899985,"DESIGN"
"Gerrit",0,105725691.899985,"DESIGN"
"Gerrit",1,8649835,"DESIGN"
"Gerrit",1,37395,"DESIGN"
"Gerrit",1,74432340,"DESIGN"
"Gerrit",1,243561,"DESIGN"
"Gerrit",1,243561,"DESIGN"
"Gerrit",1,673537,"DESIGN"
"Gerrit",1,6665885,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",0,34901162.899985,"DESIGN"
"Gerrit",1,613533,"DESIGN"
"Gerrit",0,72312605.899985,"DESIGN"
"Gerrit",1,16956591,"DESIGN"
"Gerrit",1,676291,"DESIGN"
"Gerrit",1,4767814,"DESIGN"
"Gerrit",1,668607,"DESIGN"
"Gerrit",1,403308,"DESIGN"
"Gerrit",0,32311954.899985,"DESIGN"
"Gerrit",0,13136509.899985,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",0,84326342.899985,"DESIGN"
"Gerrit",1,16431370,"DESIGN"
"Gerrit",1,867,"DESIGN"
"Gerrit",1,2620298,"DESIGN"
"Gerrit",1,4653627,"DESIGN"
"Gerrit",0,82567680.899985,"DESIGN"
"Gerrit",0,80939501.899985,"DESIGN"
"Gerrit",0,49822375.899985,"DESIGN"
"Gerrit",0,85690014.899985,"DESIGN"
"Gerrit",0,90528489.899985,"DESIGN"
"Gerrit",1,516785,"DESIGN"
"Gerrit",1,765638,"DESIGN"
"Gerrit",1,5127522,"DESIGN"
"Gerrit",1,941176,"DESIGN"
"Gerrit",1,22465763,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,2459,"DESIGN"
"Gerrit",1,588322,"DESIGN"
"Gerrit",1,6372231,"DESIGN"
"Gerrit",1,72511,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",0,52926555.899985,"DESIGN"
"Gerrit",1,8726203,"DESIGN"
"Gerrit",1,4061285,"DESIGN"
"Gerrit",0,106630148.899985,"DESIGN"
"Gerrit",1,3682,"DESIGN"
"Gerrit",1,4375711,"DESIGN"
"Gerrit",1,9244729,"DESIGN"
"Gerrit",1,22488663,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,52565938,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,1195777,"DESIGN"
"Gerrit",1,22729635,"DESIGN"
"Gerrit",1,3545762,"DESIGN"
"Gerrit",0,7253768.899985,"DESIGN"
"Gerrit",0,58736286.899985,"DESIGN"
"Gerrit",0,5459703.899985,"DESIGN"
"Gerrit",1,4159650,"DESIGN"
"Gerrit",1,22263837,"DESIGN"
"Gerrit",0,106615578.899985,"DESIGN"
"Gerrit",0,196286721.899985,"DESIGN"
"Gerrit",1,2620298,"DESIGN"
"Gerrit",0,98919301.899985,"DESIGN"
"Gerrit",0,219462152.899985,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,5076462,"DESIGN"
"Gerrit",1,57259426,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",0,82567680.899985,"DESIGN"
"Gerrit",1,17544991,"DESIGN"
"Gerrit",1,1041253,"DESIGN"
"Gerrit",1,212075,"DESIGN"
"Gerrit",1,102944448,"DESIGN"
"Gerrit",1,5127522,"DESIGN"
"Gerrit",1,177,"DESIGN"
"Gerrit",0,105753865.899985,"DESIGN"
"Gerrit",1,57937,"DESIGN"
"Gerrit",1,16431370,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",0,28074261.899985,"DESIGN"
"Gerrit",1,4750513,"DESIGN"
"Gerrit",1,972062,"DESIGN"
"Gerrit",1,676291,"DESIGN"
"Gerrit",0,9423422.899985,"DESIGN"
"Gerrit",1,1346051,"DESIGN"
"Gerrit",1,167122,"DESIGN"
"Gerrit",1,1195777,"DESIGN"
"Gerrit",1,16956591,"DESIGN"
"Gerrit",1,34148525,"DESIGN"
"Gerrit",1,34148525,"DESIGN"
"Gerrit",1,739795,"DESIGN"
"Gerrit",1,72511,"DESIGN"
"Gerrit",0,26007732.899985,"DESIGN"
"Gerrit",1,3881839,"DESIGN"
"Gerrit",1,91217302,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,668607,"DESIGN"
"Gerrit",1,157579,"DESIGN"
"Gerrit",1,149569346,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,1120779,"DESIGN"
"Gerrit",0,122845919.899985,"DESIGN"
"Gerrit",1,5811878,"DESIGN"
"Gerrit",1,78658392,"DESIGN"
"Gerrit",0,4493251.899985,"DESIGN"
"Gerrit",0,33709868.899985,"DESIGN"
"Gerrit",1,45008644,"DESIGN"
"Gerrit",1,777177,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,516785,"DESIGN"
"Gerrit",1,63142,"DESIGN"
"Gerrit",1,48454946,"DESIGN"
"Gerrit",1,1120779,"DESIGN"
"Gerrit",1,420120,"DESIGN"
"Gerrit",1,4890452,"DESIGN"
"Gerrit",0,82567680.899985,"DESIGN"
"Gerrit",1,341289,"DESIGN"
"Gerrit",1,4653627,"DESIGN"
"Gerrit",0,82567680.899985,"DESIGN"
"Gerrit",1,2682773,"DESIGN"
"Gerrit",0,27791603.899985,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,14843545,"DESIGN"
"Gerrit",0,28074261.899985,"DESIGN"
"Gerrit",1,803987,"DESIGN"
"Gerrit",0,87008182.899985,"DESIGN"
"Gerrit",1,85738548,"DESIGN"
"Gerrit",0,59279515.899985,"DESIGN"
"Gerrit",0,5279670.899985,"DESIGN"
"Gerrit",1,21173433,"DESIGN"
"Gerrit",1,11799184,"DESIGN"
"Gerrit",1,43658952,"DESIGN"
"Gerrit",1,1848660,"DESIGN"
"Gerrit",1,2279237,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,7622268,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,11799184,"DESIGN"
"Gerrit",0,5798378.899985,"DESIGN"
"Gerrit",0,3561435.899985,"DESIGN"
"Gerrit",0,169783802.899985,"DESIGN"
"Gerrit",1,927582,"DESIGN"
"Gerrit",1,24719665,"DESIGN"
"Gerrit",1,932643,"DESIGN"
"Gerrit",0,106615578.899985,"DESIGN"
"Gerrit",1,150460677,"DESIGN"
"Gerrit",1,2870665,"DESIGN"
"Gerrit",1,57937,"DESIGN"
"Gerrit",1,2409893,"DESIGN"
"Gerrit",1,5099773,"DESIGN"
"Gerrit",1,70748278,"DESIGN"
"Gerrit",1,12117034,"DESIGN"
