project_name,processed_comment_id,file_name,comment_classification,version_introduced_name,version_introduced_hash,version_introduced_date,version_removed_name,version_removed_hash,version_removed_date,interval_time_to_remove,epoch_time_to_remove,number_of_releases_to_remove
apache-ant,4276,WLJspc.java,DESIGN,ANT_12,311a5f7cce44dfdcb66c7275e84ca2f201845d52,2000-10-24 08:45:24,ANT_180_RC1,03ce8558d603de7b653145c0efde5f719e78a71a,2010-01-05 21:44:08,9 years 2 mons 12 days 12:58:44,290285924,50
apache-ant,6269,ZipFile.java,DEFECT,ANT_170_B2,0a03d089c8aabaf5d7dd80cb0521e669ce5927f3,2006-09-17 13:32:48,ANT_190,b47c505fa7563e9b0ea1e4667ae8f2f7aed3b007,2013-03-06 04:20:43,6 years 5 mons 18 days 14:47:55,203914075,13
apache-jmeter,12254,Sample.java,DESIGN,v2_3_4_RC3,7e90f5634273ebe6903b3fb8d04be4ed014aabaa,2011-11-01 21:24:22,v2_10,05e19dd900305b43296a89a8fbbd4669b987546b,2013-10-20 16:29:48,1 year 11 mons 18 days 19:05:26,61693526,62
apache-jmeter,14875,HTTPHC4Impl.java,DESIGN,v2_5_RC3,cb858ac330133a48cbb4aa34787f2a07b77981fc,2011-11-01 21:24:22,v2_12_RC1,1c14d5444da52e2a7a0b24bc9e0ab14d4fb107e8,2014-11-02 15:01:40,3 years 17:37:18,94736238,71
apache-jmeter,17371,ReportMainFrame.java,DESIGN,v2_5_RC3,cb858ac330133a48cbb4aa34787f2a07b77981fc,2011-11-01 21:24:22,v2_13_RC1,9e3f9a87bd50c1bd601850e22a63120b4ce95bda,2015-03-03 22:16:43,3 years 4 mons 2 days 00:52:21,105216741,74
apache-jmeter,17504,ReportMenuFactory.java,DESIGN,v2_5_RC3,cb858ac330133a48cbb4aa34787f2a07b77981fc,2011-11-01 21:24:22,v2_13_RC1,9e3f9a87bd50c1bd601850e22a63120b4ce95bda,2015-03-03 22:16:43,3 years 4 mons 2 days 00:52:21,105216741,74
apache-jmeter,17639,ReportTreeModel.java,DESIGN,v2_10_RC1,1832504fce021b9d95c09b39a12b2086ef5ff538,2013-10-16 14:07:11,v2_13_RC1,9e3f9a87bd50c1bd601850e22a63120b4ce95bda,2015-03-03 22:16:43,1 year 4 mons 18 days 08:09:32,43510172,9
jruby,76139,RubyGlobal.java,DESIGN,1.1RC2,92dd8b805b5fc4ae4821ad9713840a99bc0ff2eb,2008-02-19 00:19:53,9.0.1.0,583f336a032da565cd2861fa4a0944386ec84699,2015-09-02 09:02:15,7 years 6 mons 12 days 08:42:22,237523342,93
jruby,76719,RubyFile.java,IMPLEMENTATION,1.1RC1,f07fbf8b11037929626a40aee7d9616adbf07c21,2008-01-07 23:48:22,jruby-openssl-0.8.1,80ba2ff470d4748a1836d40afac0b879b9a0d943,2012-12-04 13:16:06,4 years 10 mons 27 days 13:27:44,154531664,54
jruby,76850,RubyIO.java,DESIGN,1.1RC2,92dd8b805b5fc4ae4821ad9713840a99bc0ff2eb,2008-02-19 00:19:53,9.0.1.0,583f336a032da565cd2861fa4a0944386ec84699,2015-09-02 09:02:15,7 years 6 mons 12 days 08:42:22,237523342,93
