"project_name","epoch_time_to_remove"
"Tomcat",183788070
"Tomcat",113610307
"Tomcat",235266911
"Tomcat",77829532
"Tomcat",274426146
"Tomcat",7072580
"Tomcat",171029438
"Tomcat",155371484
"Tomcat",153899496
"Tomcat",151413608
"Tomcat",139989089
"Tomcat",172826550
"Tomcat",240818635
"Tomcat",86902
"Tomcat",175945272
"Tomcat",99365382
"Tomcat",96967006
"Tomcat",17177697
"Tomcat",114780738
"Tomcat",155371131
"Tomcat",155371593
"Tomcat",154764634
"Tomcat",154764634
"Tomcat",128147309
"Tomcat",1684276
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",7072580
"Tomcat",92594334
"Tomcat",186303079
"Tomcat",194592274
"Tomcat",25983195
"Tomcat",170376825
"Tomcat",25554812
"Tomcat",102471783
"Tomcat",155371910
"Tomcat",155370704
"Tomcat",95783595
"Tomcat",7282310
"Tomcat",124619802
"Tomcat",64433620
"Tomcat",155371593
"Tomcat",36019062
"Tomcat",175861205
"Tomcat",37820418
"Tomcat",32221512
"Tomcat",133262702
"Tomcat",256906783
"Tomcat",34723272
"Tomcat",151413608
"Tomcat",155371484
"Tomcat",114780738
"Tomcat",77829532
"Tomcat",77829532
"Tomcat",82120164
"Tomcat",86902
"Tomcat",99365382
"Tomcat",169554635
"Tomcat",122198902
"Tomcat",128045773
"Tomcat",128991530
"Tomcat",95783595
"Tomcat",25983195
"Tomcat",178294713
"Tomcat",119382012
"Tomcat",559750
"Tomcat",46923233
"Tomcat",180663024
"Tomcat",239774544
"Tomcat",9202728
"Tomcat",90461721
"Tomcat",155371910
"Tomcat",15079119
"Tomcat",25599547
"Tomcat",182170186
"Tomcat",26061137
"Tomcat",240611565
"Tomcat",7072580
"Tomcat",17549519
"Tomcat",124060609
"Tomcat",171645194
"Tomcat",155371910
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",101072433
"Tomcat",44667924
"Tomcat",99697143
"Tomcat",235266911
"Tomcat",86902
"Tomcat",3159024
"Tomcat",55792463
"Tomcat",49215541
"Tomcat",102471783
"Tomcat",99365382
"Tomcat",25971483
"Tomcat",150822620
"Tomcat",155371593
"Tomcat",5106856
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",1023158
"Tomcat",175861205
"Tomcat",309447598
"Tomcat",114780738
"Tomcat",37820418
"Tomcat",155371910
"Tomcat",198576766
"Tomcat",154764634
"Tomcat",152025540
"Tomcat",155371910
"Tomcat",155370704
"Tomcat",184157313
"Tomcat",183788070
"Tomcat",152025540
"Tomcat",155371910
"Tomcat",78385173
"Tomcat",36442210
"Tomcat",277521301
"Tomcat",51503444
"Tomcat",106684
"Tomcat",169553136
"Tomcat",114661856
"Tomcat",198576766
"Tomcat",154764634
"Tomcat",155371910
"Tomcat",154764634
"Tomcat",70651718
"Tomcat",179096
"Tomcat",118805667
"Tomcat",129358450
"Tomcat",86902
"Tomcat",124197409
"Tomcat",37820418
"Tomcat",139992211
"Tomcat",155371910
"Tomcat",155371910
"Tomcat",7282310
"Tomcat",37820418
"Tomcat",95784230
"Tomcat",171713446
"Tomcat",78849163
"Tomcat",116369379
"Tomcat",198442379
"Tomcat",140211407
"Tomcat",102471783
"Tomcat",175801866
"Tomcat",153189532
"Tomcat",7072580
"Tomcat",25483436
"Tomcat",26280936
"Tomcat",95783595
"Tomcat",92594334
"Tomcat",4356073
"Tomcat",36455499
"Tomcat",122867457
"Tomcat",132816234
"Tomcat",107376780
"Tomcat",18398
"Tomcat",105187147
"Tomcat",6160250
"Tomcat",154764634
"Tomcat",155371910
"Tomcat",103667695
"Tomcat",155371593
"Tomcat",155371910
"Tomcat",198576766
"Tomcat",26280936
"Tomcat",153899496
"Tomcat",17933005
"Tomcat",5106856
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",154764634
"Tomcat",113613296
"Tomcat",39869582
"Tomcat",15121575
"Tomcat",194778220
"Tomcat",111666592
"Tomcat",152499390
"Tomcat",309263228
"Tomcat",183788030
"Tomcat",110695431
"Tomcat",10232371
"Tomcat",162658829
"Tomcat",129376445
"Tomcat",194759642
"Tomcat",32212446
"Tomcat",10264835
"Tomcat",129820181
"Tomcat",71521136
"Tomcat",142227317
"Tomcat",101072433
"Tomcat",1709870
"Tomcat",311937349
"Tomcat",1709870
"Tomcat",53208526
"Tomcat",89020844
"Tomcat",22444665
"Tomcat",3165354
"Tomcat",114662281
"Tomcat",258946179
"Tomcat",141812560
"Tomcat",83619360
"Tomcat",96229
"Tomcat",93204
"Tomcat",210048528
"Tomcat",7072580
"Tomcat",167030253
"Tomcat",11912009
"Tomcat",6682965
"Tomcat",10973041
"Tomcat",3310966
"Tomcat",11085559
"Tomcat",278641754
"Tomcat",28418315
"Tomcat",79114
"Tomcat",160127317
"Tomcat",25971483
"Tomcat",111357057
"Tomcat",77829532
"Tomcat",155371910
"Tomcat",147554673
"Tomcat",96469024
"Tomcat",152025540
"Tomcat",154764634
"Tomcat",154764634
"Tomcat",150822620
"Tomcat",155371593
"Tomcat",154764634
"Tomcat",152025540
"Tomcat",154764634
"Tomcat",155371910
"Tomcat",171029438
"Tomcat",298440113
"Tomcat",30069874
"Tomcat",102471783
"Tomcat",102294393
"Tomcat",102471783
"Tomcat",171645194
"Tomcat",12535836
"Tomcat",155371910
"Tomcat",147554673
"Tomcat",151413608
"Tomcat",111736599
"Tomcat",153189532
"Tomcat",118805707
"Tomcat",95784230
"Tomcat",95784230
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",95783595
"Tomcat",7072580
"Tomcat",9204140
"Tomcat",9204140
"Tomcat",4532609
"Tomcat",154764634
"Tomcat",25599547
"Tomcat",264466450
"Tomcat",10256146
"Tomcat",81892736
"Tomcat",113610307
"Tomcat",139633060
"Tomcat",102783360
"Tomcat",77829532
"Tomcat",49215541
"Tomcat",7072580
"Tomcat",7072580
"Tomcat",183787986
"Tomcat",86902
"Tomcat",199857115
"Tomcat",123479930
"Tomcat",4356073
"Tomcat",80489508
"Tomcat",179096
"Tomcat",25971483
"Tomcat",155371593
"Tomcat",149811504
"Tomcat",114780738
"Tomcat",114780738
"Tomcat",114780738
"Tomcat",114780738
"Tomcat",85156331
"Tomcat",155371910
"Tomcat",28418315
"Tomcat",1684276
"Tomcat",95784230
"Tomcat",95784230
"Tomcat",95783595
"Tomcat",94775503
"Tomcat",92594334
"Tomcat",92594334
"Tomcat",57761765
"Tomcat",7282310
"Tomcat",122304825
"Tomcat",7072580
"Tomcat",213236881
"Tomcat",160469138
"Tomcat",239774544
"Tomcat",95706335
"Tomcat",10197297
"Tomcat",114780738
"Tomcat",154761857
"Tomcat",155371910
"Tomcat",139989089
"Tomcat",183788070
"Tomcat",152264836
"Tomcat",113935259
"Tomcat",206261107
"Tomcat",22448841
"Tomcat",274580052
"Tomcat",113613296
"Tomcat",1368372
"Tomcat",31612893
"Tomcat",175861205
"Tomcat",122304825
"Tomcat",129358450
"Tomcat",129865087
"Tomcat",130040616
"Tomcat",130040616
"Tomcat",129865087
"Tomcat",266447960
"Tomcat",148507859
"Tomcat",176099918
"Tomcat",142565935
"Tomcat",14806029
"Tomcat",113613296
"Tomcat",15014097
"Tomcat",16302545
"Tomcat",91955
"Tomcat",309263228
"Tomcat",181268087
"Tomcat",9202728
"Tomcat",36091673
"Tomcat",52540
"Tomcat",122867509
"Tomcat",14276257
"Tomcat",20168177
"Tomcat",114335642
"Tomcat",130553730
"Tomcat",102181257
"Tomcat",3890708
"Tomcat",217276277
"Tomcat",103009375
"Tomcat",165728419
"Tomcat",103009375
"Tomcat",7072580
"Tomcat",154063621
"Tomcat",264222
"Tomcat",52213256
"Tomcat",201460861
"Tomcat",112448594
"Tomcat",119655810
"Tomcat",157359642
"Tomcat",171645194
"Tomcat",37820418
"Tomcat",155371910
"Tomcat",139991566
"Tomcat",25983195
"Tomcat",96469024
"Tomcat",153899496
"Tomcat",147554673
"Tomcat",154764634
"Tomcat",155371593
"Tomcat",256907197
"Tomcat",154764634
"Tomcat",139992211
