"project_name","was_td_removed","epoch_interval","comment_classification"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,132852477.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,20224695.239268,"DESIGN"
"Hadoop",0,138984370.239268,"DESIGN"
"Hadoop",0,91206945.239268,"DESIGN"
"Hadoop",1,3603533,"DESIGN"
"Hadoop",0,104778818.239268,"DESIGN"
"Hadoop",0,152403252.239268,"DESIGN"
"Hadoop",1,3968795,"DESIGN"
"Hadoop",0,43312969.239268,"DESIGN"
"Hadoop",0,43312969.239268,"DESIGN"
"Hadoop",1,92630162,"DESIGN"
"Hadoop",0,216040972.239268,"DESIGN"
"Hadoop",0,216040972.239268,"DESIGN"
"Hadoop",0,96568400.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,56481407.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",1,44241949,"DESIGN"
"Hadoop",0,86134294.239268,"DESIGN"
"Hadoop",0,124752726.239268,"DESIGN"
"Hadoop",0,78811839.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",1,2663883,"DESIGN"
"Hadoop",0,141585480.239268,"DESIGN"
"Hadoop",0,141585480.239268,"DESIGN"
"Hadoop",1,22376113,"DESIGN"
"Hadoop",0,141585480.239268,"DESIGN"
"Hadoop",1,508467,"DESIGN"
"Hadoop",0,147525791.239268,"DESIGN"
"Hadoop",1,5738133,"DESIGN"
"Hadoop",0,86713266.239268,"DESIGN"
"Hadoop",1,4668373,"DESIGN"
"Hadoop",1,4457206,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",1,65250239,"DESIGN"
"Hadoop",1,365132,"DESIGN"
"Hadoop",0,184022356.239268,"DESIGN"
"Hadoop",0,108744483.239268,"DESIGN"
"Hadoop",1,6128906,"DESIGN"
"Hadoop",0,150796756.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
"Hadoop",0,68554342.239268,"DESIGN"
"Hadoop",1,4601831,"DESIGN"
"Hadoop",1,68305701,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",0,150918161.239268,"DESIGN"
"Hadoop",1,3902953,"DESIGN"
"Hadoop",0,35577048.239268,"DESIGN"
"Hadoop",0,46320535.239268,"DESIGN"
"Hadoop",1,3902953,"DESIGN"
"Hadoop",0,135048154.239268,"DESIGN"
"Hadoop",0,67526866.239268,"DESIGN"
"Hadoop",0,146963687.239268,"DESIGN"
"Hadoop",1,5944632,"DESIGN"
"Hadoop",0,27841301.239268,"DESIGN"
"Hadoop",0,101935669.239268,"DESIGN"
"Hadoop",0,145254982.239268,"DESIGN"
