"project_name","was_td_removed","epoch_interval","comment_classification"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,183788070,"DESIGN"
"Tomcat",1,15463467,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,3400367,"DESIGN"
"Tomcat",1,53750126,"DESIGN"
"Tomcat",1,113610307,"DESIGN"
"Tomcat",0,302566577.829478,"DESIGN"
"Tomcat",0,40602437.829478,"DESIGN"
"Tomcat",0,162090849.829478,"DESIGN"
"Tomcat",0,151344417.829478,"DESIGN"
"Tomcat",1,53827,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,45479806,"DESIGN"
"Tomcat",1,12,"DESIGN"
"Tomcat",1,235266911,"DESIGN"
"Tomcat",1,769113,"DESIGN"
"Tomcat",0,41628505.829478,"DESIGN"
"Tomcat",0,57039515.829478,"DESIGN"
"Tomcat",1,42781,"DESIGN"
"Tomcat",0,14260495.829478,"DESIGN"
"Tomcat",1,11200848,"DESIGN"
"Tomcat",0,18854216.829478,"DESIGN"
"Tomcat",1,8198,"DESIGN"
"Tomcat",1,81510,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,81510,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,81510,"DESIGN"
"Tomcat",1,81510,"DESIGN"
"Tomcat",0,19073185.829478,"DESIGN"
"Tomcat",1,77829532,"DESIGN"
"Tomcat",1,20450,"DESIGN"
"Tomcat",1,274426146,"DESIGN"
"Tomcat",0,74733475.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,56008297.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,26591957.829478,"DESIGN"
"Tomcat",0,95567761.829478,"DESIGN"
"Tomcat",1,7072580,"DESIGN"
"Tomcat",1,15463467,"DESIGN"
"Tomcat",0,314981344.829478,"DESIGN"
"Tomcat",1,3,"DESIGN"
"Tomcat",0,100889595.829478,"DESIGN"
"Tomcat",0,167503821.829478,"DESIGN"
"Tomcat",1,182760,"DESIGN"
"Tomcat",0,89095845.829478,"DESIGN"
"Tomcat",1,13912106,"DESIGN"
"Tomcat",0,32302643.829478,"DESIGN"
"Tomcat",1,171029438,"DESIGN"
"Tomcat",1,519031,"DESIGN"
"Tomcat",1,155371484,"DESIGN"
"Tomcat",1,153899496,"DESIGN"
"Tomcat",1,151413608,"DESIGN"
"Tomcat",1,139989089,"DESIGN"
"Tomcat",1,9994738,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,15463467,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,172826550,"DESIGN"
"Tomcat",0,31796131.829478,"DESIGN"
"Tomcat",1,240818635,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,25989311.829478,"DESIGN"
"Tomcat",1,86902,"DESIGN"
"Tomcat",1,47380176,"DESIGN"
"Tomcat",1,175945272,"DESIGN"
"Tomcat",1,26090,"DESIGN"
"Tomcat",1,264788,"DESIGN"
"Tomcat",0,112741929.829478,"DESIGN"
"Tomcat",1,728,"DESIGN"
"Tomcat",1,728,"DESIGN"
"Tomcat",1,728,"DESIGN"
"Tomcat",1,81510,"DESIGN"
"Tomcat",1,728,"DESIGN"
"Tomcat",0,24273046.829478,"DESIGN"
"Tomcat",0,9936730.829478,"DESIGN"
"Tomcat",1,99365382,"DESIGN"
"Tomcat",1,131344,"DESIGN"
"Tomcat",1,96967006,"DESIGN"
"Tomcat",0,25421931.829478,"DESIGN"
"Tomcat",1,17177697,"DESIGN"
"Tomcat",1,114780738,"DESIGN"
"Tomcat",0,7329588.829478,"DESIGN"
"Tomcat",1,155371131,"DESIGN"
"Tomcat",1,693359,"DESIGN"
"Tomcat",1,155371593,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,23328043,"DESIGN"
"Tomcat",1,128147309,"DESIGN"
"Tomcat",1,47497,"DESIGN"
"Tomcat",1,3922050,"DESIGN"
"Tomcat",1,1731418,"DESIGN"
"Tomcat",1,9994738,"DESIGN"
"Tomcat",1,15463436,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,1684276,"DESIGN"
"Tomcat",1,161946061,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,717758,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,20010149,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,7072580,"DESIGN"
"Tomcat",1,11738255,"DESIGN"
"Tomcat",1,92594334,"DESIGN"
"Tomcat",1,186303079,"DESIGN"
"Tomcat",1,15463357,"DESIGN"
"Tomcat",1,602126,"DESIGN"
"Tomcat",1,23235316,"DESIGN"
"Tomcat",1,15462831,"DESIGN"
"Tomcat",1,3699763,"DESIGN"
"Tomcat",1,20010149,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,6993378,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,51603390,"DESIGN"
"Tomcat",0,77850174.829478,"DESIGN"
"Tomcat",1,5879493,"DESIGN"
"Tomcat",1,9903020,"DESIGN"
"Tomcat",1,194592274,"DESIGN"
"Tomcat",1,431559,"DESIGN"
"Tomcat",0,166400254.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,1981900,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,25983195,"DESIGN"
"Tomcat",1,67026,"DESIGN"
"Tomcat",1,170376825,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,25554812,"DESIGN"
"Tomcat",1,1731418,"DESIGN"
"Tomcat",1,102471783,"DESIGN"
"Tomcat",1,2688092,"DESIGN"
"Tomcat",0,15437431.829478,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,1731418,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,1688379,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
