project_name,classification,commit_message
tomcat,Corrective,Fix the remaining Javadocs except the external links to JAX-RPCgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@981816 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Javadoc fixes.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1724626 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=56530 Add a web application class loader implementation that supports the parallel loading of web application classes.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1623360 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Partial fix for https://issues.apache.org/bugzilla/show_bug.cgi?id=48644 Some Throwables must always be re-throwngit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1001933 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Cookie is now serializable in Servlet 3.0 Fix some Eclipse warningsgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@834034 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=56530 Add a web application class loader implementation that supports the parallel loading of web application classes.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1623360 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix a small number of Eclipse warnings.  - Unused code  - Unnecessary null checksgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1174325 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,"Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=49924 When non-primary node changes into a primary node, make sure isPrimarySession is changed to true.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@996778 13f79535-47bb-0310-9956-ffa450edef68n"
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48148 Correct JavaDoc typos. Patch provided by gingyang.xugit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@881577 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,"Improve the ChatServlet comet example. 1. Fix possible deadlock in ChatServlet$MessageSender, similar to BZ 48843. 2. Properly wake up ChatServlet$MessageSender when the servlet is destroyed. 3. Filter special characters when printing the message in ChatServlet. 4. Provide an explicit charset everywhere. 5. Fix frames layout. Fix redirections. Use target=<name> attribute in HTML to send request to a particular frame. 6. Fix DTDs. Use frameset DTD for the page containing frames. 7. Add xxx joined the chat message at startup. 8. Rename chat.jsp -> index.jsp, so that the entry point to this example is more visible. 9. Corrected the link that opens a new chat window. It referenced an undefined JavaScript function. Now it is implemented just by using target=_blank. 10. Added submit button to the form pages. 11. Minor message tweaks.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@935105 13f79535-47bb-0310-9956-ffa450edef68n"
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=49860 Add support for trailing headersgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1003461 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Javadoc fixes.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1724416 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=27122 Remove a workaround for a very old and since fixed Mozilla bug and change the default value of the securePagesWithPragma attribute of the Authenticator Valves to false to reduce the likelihood of issues when downloading files with IE.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1126273 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Javadoc fixes.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1724416 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Tweak processor blocking so that it is non-blocking while no message is being processed and blocking during the processing of a message Align ajp nio protocol implementation with http nio Still some TCK failures to resolvegit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1103860 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48146 Correct JavaDoc typos. Patch provided by gingyang.xugit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@881574 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Allow Checkstyles unused imports test to be used with this class Fix Eclipse warningsgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1026157 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48133 Spelling errors in javadoc Patch provided by qingyang.xugit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@833111 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48146 Correct JavaDoc typos. Patch provided by gingyang.xugit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@881574 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=48133 Spelling errors in javadoc Patch provided by qingyang.xugit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@833111 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Allow Checkstyles unused imports test to be used with the o.a.catalina.core package (partial) Fix some Eclipse warningsgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1026801 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=49916 Switch to using an initialisation parameter to pass JSP file information from Catalina to Jasper. This simplifies the Catalina code as well as making it easier for Geronimo and others to integrate Jasper. Patch provided by David Jencks.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1003589 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix remainder of failing tests and a related TODO spotted in the tests as well.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@1539036 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Fix https://issues.apache.org/bugzilla/show_bug.cgi?id=46967 and make behaviour consistent when running under a security manager. Based on a patch provided by Kirk Wolfgit-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@763228 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Corrective,Bugfix typos from 48118git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@832733 13f79535-47bb-0310-9956-ffa450edef68n
tomcat,Feature Addition,"Remove the integration - ObjectManager and wrapping of DI frameworks. Lite is just a library/connector - doesnt need it, instead will integrate it with existing tomcat JNI model. I may add it back for an example of using tomcat-lite standalone, but for now its better to avoid confusion.git-svn-id: https://svn.apache.org/repos/asf/tomcat/trunk@947932 13f79535-47bb-0310-9956-ffa450edef68n"
