project_name,classification,commit_message
hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-1245. Plugable block id generation. Contributed by Konstantin Shvachko.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1432539 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-6252. Phase out the old web UI in HDFS. Contributed by Haohui Mai.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1591732 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,"MAPREDUCE-5079. Changes job recovery to restore state directly from job history, instaed of simulating state machine events. Contributed by Jason Lowe and Robert Parker.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1466767 13f79535-47bb-0310-9956-ffa450edef68n"
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,YARN-230. RM Restart phase 1 - includes support for saving/restarting all applications on an RM bounce. Contributed by Bikas Saha.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1423758 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HADOOP-8334. HttpServer sometimes returns incorrect port (Daryn Sharp via bobby)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1332336 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-8249. Separate HdfsConstants into the client and the server side class. Contributed by Haohui Mai.
hadoop,None,MAPREDUCE-4266. remove Ant remnants from MR (tgraves via bobby)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1407551 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,MAPREDUCE-4832. MR AM can get in a split brain situation. Contributed by Jason Lowegit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1429040 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,MAPREDUCE-4832. MR AM can get in a split brain situation. Contributed by Jason Lowegit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1429040 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,MAPREDUCE-4832. MR AM can get in a split brain situation. Contributed by Jason Lowegit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1429040 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,MAPREDUCE-4832. MR AM can get in a split brain situation. Contributed by Jason Lowegit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1429040 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HADOOP-8334. HttpServer sometimes returns incorrect port (Daryn Sharp via bobby)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1332336 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,MAPREDUCE-4832. MR AM can get in a split brain situation. Contributed by Jason Lowegit-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1429040 13f79535-47bb-0310-9956-ffa450edef68n
hadoop,None,HDFS-8895. Remove deprecated BlockStorageLocation APIs.
hadoop,None,MAPREDUCE-4813. AM timing out during job commit (jlowe via bobby)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1426536 13f79535-47bb-0310-9956-ffa450edef68n
