commit_hash,project_name,classification,commit_message
0019f0b9ef5900d928d00a206c4bd1652912babd,camel,Feature Addition,Added TODO which needs to be resolved for the recent rest-dsl PR
001e0983b666816db54aed0414535c4f2139349a,apache-jmeter,None,Update conversion format to 1.1: use XStream to encode/decode strings instead of URLencodegit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@325507 13f79535-47bb-0310-9956-ffa450edef68n
002ce4de0e052607a940196baa928ab808f17055,apache-jmeter,Preventative,Move test code to test treegit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/branches/rel-2-1@368564 13f79535-47bb-0310-9956-ffa450edef68n
004fdce788319c077888ed46605384523a6f21bb,apache-jmeter,Feature Addition,Added getParserInstance() and isParserReusable(); added more testsgit-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@323746 13f79535-47bb-0310-9956-ffa450edef68n
0060cbb666b52d9fc80e29544d463fb433129f72,camel,Feature Addition,Added manual test based on user forum issuegit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@931514 13f79535-47bb-0310-9956-ffa450edef68n
0077a2c4457f33e7f8610ed662c602f46e1be84a,apache-jmeter,Corrective,Revert typo fix which was not typo fix as per sebb checkgit-svn-id: https://svn.apache.org/repos/asf/jmeter/trunk@1607308 13f79535-47bb-0310-9956-ffa450edef68n
0086014703db5f1299143103e92093c4e8cf92d7,hadoop,None,MAPREDUCE-3625. CapacityScheduler web-ui display of queues used capacity is broken. (Jason Lowe via mahadev)git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@1230336 13f79535-47bb-0310-9956-ffa450edef68n
0094821289160a7448ae3521eae881226c9509cd,camel,Feature Addition,camel-5280 - Add addServlet for Producergit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1342616 13f79535-47bb-0310-9956-ffa450edef68n
00a17c0239ae14cc7e699af80e4d9be56feadf35,camel,Preventative,Disable test that causes processors to hang aroundgit-svn-id: https://svn.apache.org/repos/asf/camel/trunk@1342380 13f79535-47bb-0310-9956-ffa450edef68n
00d318378e4b43d36be91b29ae3ef8a879a81e1e,hadoop,Corrective,HDFS-4397. Fix a bug in INodeDirectoryWithSnapshot.Diff.combinePostDiff(..) that it may put the wrong node into the deleted list.git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/branches/HDFS-2802@1433293 13f79535-47bb-0310-9956-ffa450edef68n
